Date,USD Mid Rate
2024-04-02,23662.3059
2024-04-03,24068.0082
2024-04-04,27740.2433
2024-04-05,1
2024-04-08,13.5616
2024-04-09,13.5348
2024-04-10,13.5012
2024-04-11,13.4542
2024-04-12,13.4178
2024-04-15,13.4027
2024-04-16,13.362
2024-04-17,13.3437
2024-04-19,13.3129
2024-04-22,13.2889
2024-04-23,13.2536
2024-04-24,13.2517
2024-04-25,13.3811
2024-04-26,13.4218
2024-04-29,13.4407
2024-04-30,13.4301
2024-05-02,13.419
2024-05-03,13.554
2024-05-06,13.6757
2024-05-07,13.6689
2024-05-08,13.6653
2024-05-09,13.5326
2024-05-10,13.5187
2024-05-13,13.4823
2024-05-14,13.4126
2024-05-15,13.4097
2024-05-16,13.4015
2024-05-17,13.3976
2024-05-20,13.3703
2024-05-21,13.3098
2024-05-22,13.2767
2024-05-23,13.2183
2024-05-24,13.2242
2024-05-27,13.2432
2024-05-28,13.2789
2024-05-29,13.3036
2024-05-30,13.3021
2024-05-31,13.3177
2024-06-03,13.3109
2024-06-04,13.3162
2024-06-05,13.3285
2024-06-06,13.4356
2024-06-07,13.4309
2024-06-10,13.3926
2024-06-11,13.4639
2024-06-12,13.4986
2024-06-13,13.4839
2024-06-14,13.4803
2024-06-17,13.491
2024-06-18,13.4865
2024-06-19,13.4921
2024-06-20,13.582
2024-06-21,13.5903
2024-06-24,13.5812
2024-06-25,13.597
2024-06-26,13.601
2024-06-27,13.6814
2024-06-28,13.7031
2024-07-01,13.7026
2024-07-02,13.6917
2024-07-03,13.6984
2024-07-04,13.7618
2024-07-05,13.6946
2024-07-08,13.7607
2024-07-09,13.7401
2024-07-10,13.7321
2024-07-11,13.7358
2024-07-12,13.7634
2024-07-15,13.7501
2024-07-16,13.7562
2024-07-17,13.734
2024-07-18,13.7241
2024-07-19,13.7164
2024-07-22,13.7023
2024-07-23,13.7527
2024-07-24,13.7689
2024-07-25,13.7852
2024-07-26,13.7821
2024-07-29,13.7912
2024-07-30,13.7962
2024-07-31,13.7859
2024-08-01,13.7951
2024-08-02,13.7739
2024-08-05,13.7654
2024-08-06,13.7623
2024-08-07,13.7817
2024-08-08,13.8021
2024-08-09,13.7814
2024-08-14,13.7802
2024-08-15,13.7863
2024-08-16,13.7902
2024-08-19,13.7918
2024-08-20,13.8014
2024-08-21,13.8044
2024-08-22,13.8076
2024-08-23,13.8134
2024-08-26,13.8205
2024-08-27,13.8291
2024-08-28,13.8156
2024-08-29,13.8388
2024-08-30,13.8546
2024-09-02,13.8603
2024-09-03,13.8659
2024-09-04,13.8697
2024-09-05,13.8742
2024-09-06,13.891
2024-09-09,13.9236
2024-09-10,13.9477
2024-09-11,13.9489
2024-09-12,13.9492
2024-09-13,13.9521
2024-09-16,13.9563
2024-09-17,13.9579
2024-09-18,13.9608
2024-09-19,13.9711
2024-09-20,13.9783
2024-09-23,13.9802
2024-09-24,13.9854
2024-09-25,13.9912
2024-09-26,13.9987
2024-09-27,24.3902
2024-09-30,24.8831
2024-10-01,25.1305
2024-10-02,25.2824
2024-10-03,25.2813
2024-10-04,25.3578
2024-10-07,25.706
2024-10-08,25.8683
2024-10-09,25.9703
2024-10-10,26.0692
2024-10-11,26.3309
2024-10-14,26.3672
2024-10-15,26.49
2024-10-16,26.6718
2024-10-17,26.6535
2024-10-18,26.8596
2024-10-21,27.0116
2024-10-22,27.0645
2024-10-23,27.2821
2024-10-24,27.4436
2024-10-25,27.688
2024-10-28,28.3676
2024-10-29,28.5933
2024-10-30,28.6591
2024-10-31,28.6802
2024-11-01,28.6829
2024-11-04,27.9986
2024-11-05,26.9024
2024-11-06,26.0142
2024-11-07,25.6907
2024-11-08,25.5893
2024-11-11,25.4951
2024-11-12,25.4834
2024-11-13,25.2857
2024-11-14,25.2844
2024-11-15,25.2836
2024-11-18,25.2842
2024-11-19,25.2847
2025-06-02,26.9213
2025-06-03,26.9239
2025-06-04,26.9312
2025-06-05,26.935
2025-06-06,26.9401
2025-06-09,26.9525
2025-06-10,26.9583
2025-06-11,26.9672
2025-06-12,26.9749
2025-06-13,26.9768
2025-06-16,26.9796
2025-06-17,26.9815
2025-06-18,26.9865
2025-06-19,26.9907
2025-06-20,26.9918
2025-06-23,26.9965
2025-06-24,26.9543
2025-06-25,26.9481
2025-06-26,26.9507
2025-06-27,26.9389
2025-06-30,26.9457
2025-07-01,26.9502
2025-07-02,26.9529
2025-07-03,26.9561
2025-07-04,26.891
2025-07-07,26.8827
2025-07-08,26.8879
2025-07-09,26.8905
2025-07-10,26.8461
2025-07-11,26.8394
2025-07-14,26.8406
2025-07-15,26.8167
2025-07-16,26.7913
2025-07-17,26.7965
2025-07-18,26.8014
2025-07-21,26.8064
2025-07-22,26.7891
2025-07-23,26.7884
2025-07-24,26.7752
2025-07-25,26.7805
2025-07-28,26.7915
2025-07-29,26.7947
2025-07-30,26.7894
2025-07-31,26.7863
2025-08-01,26.7906
2025-08-04,26.7954
2025-08-05,26.7724
2025-08-06,26.7793
2025-08-07,26.7639
2025-08-08,26.7605
2025-08-13,26.7662
2025-08-14,26.7732
2025-08-15,26.7807
2025-08-18,26.7683
2025-08-19,26.7607
2025-08-20,26.7581
2025-08-21,26.7635
2025-08-22,26.7506
2025-08-25,26.7624
2025-08-26,26.7687
2025-08-27,26.7451
2025-08-28,26.7498
2025-08-29,26.7548
2025-09-01,26.7413
