code,name,external_account_type,parent_code
10000/03/050,Transfers - Without Binding Agreements,Revenue,
10000/03/051,Grants and Donations,Revenue,
10000/04/053,Sale of Goods,Revenue,
10000/04/054,Trainings,Revenue,
10000/04/055,Lease Revenue,Revenue,
10000/04/056,Hosting Services,Revenue,
10000/04/056/0001,vCPU,Revenue,10000/04/056
10000/04/056/0002,RAM (Gb),Revenue,10000/04/056
10000/04/056/0003,OS Storage (Gb),Revenue,10000/04/056
10000/04/056/0004,GPU,Revenue,10000/04/056
10000/04/057,Interest Income,Revenue,
10000/04/058,Other Income,Revenue,
10500/05,Business Development/Services,Revenue,
12000,Loss on Exchange,Other Income,
13000,Profit on Exchange,Other Income,
14000,Interest Paid,Other Expense,
20000/01/101/008/300,Fuels and Lubricants,Other Expense,
20000/01/101/008/301,Fuels and Lubricants/Internal Resources,Other Expense,
20000/01/101/010/300,Stationery and Printing,Other Expense,
20000/01/101/012/300,Travel and Subsistence,Other Expense,
20000/01/101/013/300,Motor Vehicle Repairs,Other Expense,
20000/01/101/014/300,Bank Charges,Other Expense,
20000/01/101/015/300,General Maintenance,Other Expense,
20000/01/101/015/301,General Maintenance/Internal Resources,Other Expense,
20000/01/101/019/300,Rent and Rates,Other Expense,
20000/01/101/020/301,Protecting Clothing/Internal Resources,Other Expense,
20000/01/101/021/300,IT Consumables,Other Expense,
20000/01/101/022/300,Software Subscriptions,Other Expense,
20000/01/101/025/300,Lunches and Refreshments,Other Expense,
20000/01/101/026/300,Advertising and Promotions,Other Expense,
20000/01/101/026/301,Advertising and Promotions/Internal Resources,Other Expense,
20000/01/101/029/300,Audit Fees,Other Expense,
20000/01/101/038/300,Board Fees,Other Expense,
20000/01/101/044/300,Board Expenses/Government,Other Expense,
20000/01/101/049/300,Annual General Meeting/Government,Other Expense,
20000/01/101/050/301,"Monitoring, Evaluation and Due Dilligenc/Internal Resources",Other Expense,
20000/01/101/051/301,IPSAS Trainings/Internal Resources,Other Expense,
20000/01/101/052/300,"Internal Audit W/shops, Conference & Seminars/Government",Other Expense,
20000/02/100/001/300,Salaries/Government,Other Expense,
20000/02/100/002/300,Medical Aid/Government,Other Expense,
20000/02/100/003/300,PAYE/Government,Other Expense,
20000/02/100/004/300,NSSA/Government,Other Expense,
20000/02/100/005/301,Data and Airtime/Internal Resources,Other Expense,
20000/02/100/006/300,Funeral Insurance,Other Expense,
20000/02/100/007/301,Internship Allowances,Other Expense,
20000/02/100/016/300,Training and Capacity Building,Other Expense,
20000/02/100/023/300,Pension Contributions/Government,Other Expense,
20000/02/100/034/301,Staff Welfare and Wellness/Internal Resources,Other Expense,
20000/02/100/035/300,Gifts to Staff,Other Expense,
20000/02/100/053/300,Provision of Leave Days,Other Expense,
20000/02/101/009/300,Cleaning Supplies and Materials,Other Expense,
20000/02/101/011/300,Communication (Telephone and Internet),Other Expense,
20000/02/101/017/300,Insurance,Other Expense,
20000/02/101/036/301,Consultancy Fees and Training Facilitation/Internal Resources,Other Expense,
20000/02/101/037/300,IT Support,Other Expense,
20000/02/101/039/300,"Utilities, Rates and Fuel for Generator",Other Expense,
20000/02/101/040/300,Subscriptions and other Operating Licenses,Other Expense,
20000/02/101/041/300,Exhibitions and other Seminars,Other Expense,
20000/02/101/042/300,Professional Membership and Subscription/Government,Other Expense,
20000/02/101/043/301,Equipment Repairs/Internal Resources,Other Expense,
20000/02/101/054/301,Legal and Compliancy Fees/Internal Resources,Other Expense,
20000/02/101/055/301,First Aid Consumables/Internal Resources,Other Expense,
20000/02/101/056/301,Sports Kits/Internal Resources,Other Expense,
20000/02/101/057/301,Staff Development and Proffesional Seminars/Internal Resources,Other Expense,
20000/02/107/027,Fair Value Adjustments,Other Expense,
20000/02/107/028,Surplus/Loss on disposal of assets,Other Expense,
30000/09/101/033/300,Phrase 2 Construction Costs - Government,Other Expense,
30000/09/101/033/302,Phrase 2 Construction Costs/Zimdef,Other Expense,
30000/10/101/045/302,Phase 1 Upgrade Costs/Zimdef,Other Expense,
4000,"Depreciation, Amortisation and ImpairmentExpense",Other Expense,
40000,Accumulated Fund,Retained Earnings,
40500,Non Distributable Reserves,Non Distributable Reserves,
41000,Revaluation Reserve,Non Distributable Reserves,
58000,Deferred Income Liability,Other Non Current Liability,
59000,Buildings @ Cost,"Property, Plant and Equipm",
59500,Buildings Accum Depreciation,"Property, Plant and Equipm",
60000,Transport Equipment @ Cost,"Property, Plant and Equipm",
60500,Transport Equipment Accumulated Depreciation,"Property, Plant and Equipm",
61000,"Furniture, Fixtures and Fittings @ Cost","Property, Plant and Equipm",
61500,"Furniture, Fixtures & Fittings Accumulated Depreciation","Property, Plant and Equipm",
62000,"Information, Computer & Technology Equipment @ Costs","Property, Plant and Equipm",
62500,ICT Equipment Accumulated Depreciation,"Property, Plant and Equipm",
63000,HPC Equipment @ Cost,"Property, Plant and Equipm",
